feature,psi,psi_status,ks_statistic,ks_p_value,ks_drift
var_6,0.6878845399516929,significant,0.3153083333333334,0.0,True
var_9,0.6837820708315495,significant,0.3066416666666667,0.0,True
var_7,0.42150751463138425,significant,0.240525,0.0,True
var_2,0.2759988230083603,significant,0.17872499999999997,0.0,True
var_0,0.26649971939867584,significant,0.189975,0.0,True
var_3,0.2612270274428854,significant,0.17579166666666668,0.0,True
var_1,0.26075443815921756,significant,0.1722583333333334,0.0,True
var_4,0.2401013619430693,moderate,0.18044166666666667,0.0,True
var_5,0.04271767576299563,stable,0.06239166666666668,5.761777443561519e-102,True
var_8,0.035523631045948856,stable,0.045208333333333406,1.0177032822905478e-53,True
var_19,0.0009731759223673697,stable,0.008333333333333304,0.030834772713034253,True
var_169,0.0007494468886889155,stable,0.0072249999999999814,0.08683009497474936,False
var_128,0.0007464142584964191,stable,0.006108333333333327,0.21207226154779923,False
var_143,0.0007427883892693308,stable,0.010083333333333444,0.004453412819078047,True
var_189,0.0007232357101729185,stable,0.008416666666666628,0.028355933473562578,True
var_45,0.0007051425980896196,stable,0.005741666666666645,0.27491175225156306,False
var_152,0.0007042400576833673,stable,0.0071666666666666545,0.0913182289242177,False
var_79,0.0006901634895788365,stable,0.0075166666666666715,0.06707554013365702,False
var_64,0.0006631621441463391,stable,0.007750000000000007,0.05416009915133435,False
var_186,0.0006378878336569644,stable,0.005058333333333331,0.42512779867292183,False
var_56,0.0006338958754059782,stable,0.0056916666666666504,0.2844333674425379,False
var_51,0.0006265988722830594,stable,0.0036416666666667097,0.8197189448543618,False
var_40,0.0006227088665380714,stable,0.007666666666666655,0.058503094289850566,False
var_101,0.0006138440180978756,stable,0.008141666666666714,0.037271718741146764,True
var_94,0.0006044771515645429,stable,0.00660000000000005,0.14583973585056964,False
var_119,0.0006015538163723015,stable,0.008083333333333331,0.039451073461644115,True
var_139,0.0005903188284855347,stable,0.004583333333333384,0.5525982993038083,False
var_125,0.0005860967598128873,stable,0.00539999999999996,0.3446379797533097,False
var_71,0.0005846001692788702,stable,0.0071500000000000175,0.09263566738731621,False
var_68,0.0005538047759632781,stable,0.010358333333333358,0.0031777923028829783,True
var_91,0.0005530863110952585,stable,0.006633333333333324,0.14203148664140175,False
var_167,0.0005480547139955756,stable,0.0042083333333333695,0.6611151184002677,False
var_24,0.0005417272881656514,stable,0.007108333333333272,0.09599894216168714,False
var_62,0.000537955904918923,stable,0.005750000000000033,0.2733474230924018,False
var_116,0.0005108647328865659,stable,0.008808333333333418,0.018911688440328773,True
var_177,0.0005048895253513171,stable,0.005833333333333357,0.2580575280239442,False
var_194,0.000502282163901538,stable,0.004641666666666669,0.5361579330348566,False
var_82,0.0004995423416537623,stable,0.008674999999999988,0.0217527338396815,True
var_86,0.00048308104559116865,stable,0.009133333333333327,0.013325654106920923,True
var_104,0.0004794541764025376,stable,0.004166666666666652,0.6732781084717798,False
var_188,0.00047568223880547,stable,0.004908333333333403,0.46363629844803167,False
var_95,0.00047398703435769647,stable,0.006916666666666682,0.11280784448476289,False
var_83,0.00046666494155850173,stable,0.008958333333333346,0.01611540642635575,True
