feature,subgroup,sample_count,actual_positive_rate,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
var_81,Q1,10112,0.14556962025316456,0.1819620253164557,0.8653085443037974,0.7811241948470209,0.529891304347826,0.6623641304347826,0.5887681159420289,0.8800902730600846
var_81,Q2,9886,0.08678939915031357,0.08850900262998179,0.9098725470362128,0.7201939988825234,0.48114285714285715,0.49067599067599066,0.48586266589728794,0.8796505794456614
var_81,Q3,9884,0.08012950222581951,0.08458114123836503,0.9188587616349656,0.7374701146973475,0.49401913875598086,0.5214646464646465,0.5073710073710074,0.8828921779386474
var_81,Q4,10118,0.08865388416683138,0.08450286617908677,0.9142122949199446,0.7239822773788249,0.5169590643274854,0.4927536231884058,0.5045662100456622,0.879244180767641
var_139,Q1,9869,0.14256763603201947,0.18461850238119365,0.8612828047421218,0.7777841890926903,0.5104281009879253,0.6609808102345416,0.5760297305667389,0.877573170041342
var_139,Q2,10037,0.09285643120454319,0.09405200757198366,0.9117266115373119,0.7409011579262443,0.524364406779661,0.5311158798283262,0.5277185501066098,0.8885653899545832
var_139,Q3,10201,0.08459954906381727,0.08410940103911381,0.9112832075286736,0.7122896092096312,0.4755244755244755,0.4727694090382387,0.47414294015107494,0.8735751103094372
var_139,Q4,9892,0.08259199353012535,0.07905378083299636,0.922866963202588,0.7357588570696394,0.5345268542199488,0.5116279069767442,0.5228267667292058,0.8846729450957781
var_12,Q1,9982,0.13313965137247044,0.16589861751152074,0.8756762171909437,0.7827640078724594,0.5265700483091788,0.6561324303987961,0.5842546063651591,0.8885340287866689
var_12,Q2,10069,0.09683186016486245,0.10308868805243818,0.9087297646240937,0.7535169990921036,0.5269749518304432,0.561025641025641,0.5434674615002484,0.8865958958569471
var_12,Q3,9956,0.08698272398553636,0.08758537565287264,0.9106066693451185,0.7201612309036909,0.48623853211009177,0.4896073903002309,0.48791714614499426,0.8724271907560271
var_12,Q4,9990,0.08498498498498498,0.08398398398398399,0.9127127127127127,0.7167075843199378,0.4862932061978546,0.48056537102473496,0.4834123222748815,0.877706791995422
